IATA,Countries,Cities,Type Point,Location
DUS, Alemania,Dusseldorf,"{'location': {'type': 'Point', 'coordinates': (31.009909, -29.861825)}}","{'location': {'type': 'Point', 'coordinates': (31.009909, -29.861825)}}"
DUT, Estados Unidos,Dutch Harbor,"{'location': {'type': 'Point', 'coordinates': (6.7763137, 51.2254018)}}","{'location': {'type': 'Point', 'coordinates': (6.7763137, 51.2254018)}}"
DVL, Estados Unidos,Devils Lake,"{'location': {'type': 'Point', 'coordinates': (-166.5418001, 53.8867533)}}","{'location': {'type': 'Point', 'coordinates': (-166.5418001, 53.8867533)}}"
DVO, Filipinas,Davao,"{'location': {'type': 'Point', 'coordinates': (-98.86512, 48.112779)}}","{'location': {'type': 'Point', 'coordinates': (-98.86512, 48.112779)}}"
DWD, Arabia Saudita,Ad Dawadimi,"{'location': {'type': 'Point', 'coordinates': (125.6084371, 7.0645451)}}","{'location': {'type': 'Point', 'coordinates': (125.6084371, 7.0645451)}}"
DWO, Sri Lanka,Sri Jayawardenapura Kotte,"{'location': {'type': 'Point', 'coordinates': (44.383333, 24.494167)}}","{'location': {'type': 'Point', 'coordinates': (44.383333, 24.494167)}}"
DWR, Afganistan,Dwyer,"{'location': {'type': 'Point', 'coordinates': (79.9187415, 6.8883219)}}","{'location': {'type': 'Point', 'coordinates': (79.9187415, 6.8883219)}}"
DXB, Emiratos Arabes Unidos,Dubai,"{'location': {'type': 'Point', 'coordinates': (-107.8669781, 32.628414)}}","{'location': {'type': 'Point', 'coordinates': (-107.8669781, 32.628414)}}"
DYG, China,Zhangjiajie,"{'location': {'type': 'Point', 'coordinates': (55.2924914, 25.2653471)}}","{'location': {'type': 'Point', 'coordinates': (55.2924914, 25.2653471)}}"
DYR, Rusia,Anadyr,"{'location': {'type': 'Point', 'coordinates': (110.4741428, 29.1176794)}}","{'location': {'type': 'Point', 'coordinates': (110.4741428, 29.1176794)}}"
DYU, Tayikistan,Dusambe,"{'location': {'type': 'Point', 'coordinates': (177.5060925, 64.7316875)}}","{'location': {'type': 'Point', 'coordinates': (177.5060925, 64.7316875)}}"
DZA, Mayotte,Mamoudzou,"{'location': {'type': 'Point', 'coordinates': (68.81521423589763, 38.5425835)}}","{'location': {'type': 'Point', 'coordinates': (68.81521423589763, 38.5425835)}}"
DZN, Kazajstan,Zhezkazgan,"{'location': {'type': 'Point', 'coordinates': (45.2279761, -12.7804136)}}","{'location': {'type': 'Point', 'coordinates': (45.2279761, -12.7804136)}}"
EAA, Estados Unidos,Eagle,"{'location': {'type': 'Point', 'coordinates': (67.7145674, 47.80434)}}","{'location': {'type': 'Point', 'coordinates': (67.7145674, 47.80434)}}"
EAE, Vanuatu,Emae,"{'location': {'type': 'Point', 'coordinates': (-106.7172844, 39.6161124)}}","{'location': {'type': 'Point', 'coordinates': (-106.7172844, 39.6161124)}}"
EAM, Arabia Saudita,Najran,"{'location': {'type': 'Point', 'coordinates': (168.37265275011876, -17.065930199999997)}}","{'location': {'type': 'Point', 'coordinates': (168.37265275011876, -17.065930199999997)}}"
EAR, Estados Unidos,Kearney,"{'location': {'type': 'Point', 'coordinates': (45.666667, 18.0)}}","{'location': {'type': 'Point', 'coordinates': (45.666667, 18.0)}}"
EAS, Espana,San Sebastian,"{'location': {'type': 'Point', 'coordinates': (-98.9472344, 40.4906216)}}","{'location': {'type': 'Point', 'coordinates': (-98.9472344, 40.4906216)}}"
EAT, Estados Unidos,Wenatchee,"{'location': {'type': 'Point', 'coordinates': (-1.9838889, 43.3224219)}}","{'location': {'type': 'Point', 'coordinates': (-1.9838889, 43.3224219)}}"
EAU, Estados Unidos,Eau Claire,"{'location': {'type': 'Point', 'coordinates': (-120.3103494, 47.4234599)}}","{'location': {'type': 'Point', 'coordinates': (-120.3103494, 47.4234599)}}"
EBA, Italia,Elba (isla),"{'location': {'type': 'Point', 'coordinates': (-91.4984941, 44.811349)}}","{'location': {'type': 'Point', 'coordinates': (-91.4984941, 44.811349)}}"
EBB, Uganda,Entebbe,"{'location': {'type': 'Point', 'coordinates': (-2.4454364722748814, 36.8553861)}}","{'location': {'type': 'Point', 'coordinates': (-2.4454364722748814, 36.8553861)}}"
EBD, Sudan,El Obeid,"{'location': {'type': 'Point', 'coordinates': (32.4698564, 0.0611715)}}","{'location': {'type': 'Point', 'coordinates': (32.4698564, 0.0611715)}}"
EBH, Argelia,El Bayadh,"{'location': {'type': 'Point', 'coordinates': (30.222559, 13.183366)}}","{'location': {'type': 'Point', 'coordinates': (30.222559, 13.183366)}}"
EBJ, Dinamarca,Esbjerg,"{'location': {'type': 'Point', 'coordinates': (1.1259581442818078, 32.570302999999996)}}","{'location': {'type': 'Point', 'coordinates': (1.1259581442818078, 32.570302999999996)}}"
EBL, Irak,Erbil,"{'location': {'type': 'Point', 'coordinates': (8.4520751, 55.4664892)}}","{'location': {'type': 'Point', 'coordinates': (8.4520751, 55.4664892)}}"
ECN, Chipre,Northern Cyprus,"{'location': {'type': 'Point', 'coordinates': (44.0094652, 36.1911624)}}","{'location': {'type': 'Point', 'coordinates': (44.0094652, 36.1911624)}}"
ECP, Estados Unidos,Panama City,"{'location': {'type': 'Point', 'coordinates': (33.6252379, 35.2245313)}}","{'location': {'type': 'Point', 'coordinates': (33.6252379, 35.2245313)}}"
EDA, Estados Unidos,Edna Bay,"{'location': {'type': 'Point', 'coordinates': (-85.6545729, 30.1600827)}}","{'location': {'type': 'Point', 'coordinates': (-85.6545729, 30.1600827)}}"
EDI, Reino Unido,Edimburgo,"{'location': {'type': 'Point', 'coordinates': (-133.68282049513726, 55.971902)}}","{'location': {'type': 'Point', 'coordinates': (-133.68282049513726, 55.971902)}}"
EDL, Kenia,Eldoret,"{'location': {'type': 'Point', 'coordinates': (-3.1883749, 55.9533456)}}","{'location': {'type': 'Point', 'coordinates': (-3.1883749, 55.9533456)}}"
EDN, Rusia,Yedinka,"{'location': {'type': 'Point', 'coordinates': (35.2715481, 0.5198329)}}","{'location': {'type': 'Point', 'coordinates': (35.2715481, 0.5198329)}}"
EDO, pavo,Edremit,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
EDR, Australia,Pormpuraaw,"{'location': {'type': 'Point', 'coordinates': (26.886070582756197, 39.6717615)}}","{'location': {'type': 'Point', 'coordinates': (26.886070582756197, 39.6717615)}}"
EEA, Brasil,,"{'location': {'type': 'Point', 'coordinates': (141.7919752711827, -14.662378499999999)}}","{'location': {'type': 'Point', 'coordinates': (141.7919752711827, -14.662378499999999)}}"
EEK, Estados Unidos,Eek,"{'location': {'type': 'Point', 'coordinates': (11.0480288, 46.3144754)}}","{'location': {'type': 'Point', 'coordinates': (11.0480288, 46.3144754)}}"
EFL, Grecia,Kefalonia,"{'location': {'type': 'Point', 'coordinates': (-162.0278776, 60.2181162)}}","{'location': {'type': 'Point', 'coordinates': (-162.0278776, 60.2181162)}}"
EGC, Francia,Bergerac,"{'location': {'type': 'Point', 'coordinates': (20.5000656, 38.2499867)}}","{'location': {'type': 'Point', 'coordinates': (20.5000656, 38.2499867)}}"
EGE, Estados Unidos,Vail,"{'location': {'type': 'Point', 'coordinates': (0.487531, 44.8534568)}}","{'location': {'type': 'Point', 'coordinates': (0.487531, 44.8534568)}}"
EGM, Islas Salomon,Seghe,"{'location': {'type': 'Point', 'coordinates': (-106.40911761525388, 39.6331585)}}","{'location': {'type': 'Point', 'coordinates': (-106.40911761525388, 39.6331585)}}"
EGN, Sudan,Geneina,"{'location': {'type': 'Point', 'coordinates': (157.87571526344942, -8.57841015)}}","{'location': {'type': 'Point', 'coordinates': (157.87571526344942, -8.57841015)}}"
EGO, Rusia,Belgorod,"{'location': {'type': 'Point', 'coordinates': (22.4452278, 13.4435)}}","{'location': {'type': 'Point', 'coordinates': (22.4452278, 13.4435)}}"
EGS, Islandia,Egilsstair,"{'location': {'type': 'Point', 'coordinates': (36.5873394, 50.5955595)}}","{'location': {'type': 'Point', 'coordinates': (36.5873394, 50.5955595)}}"
EGX, Estados Unidos,Egegik,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
EIN, Paises Bajos,Eindhoven,"{'location': {'type': 'Point', 'coordinates': (-157.48311980923734, 58.236242000000004)}}","{'location': {'type': 'Point', 'coordinates': (-157.48311980923734, 58.236242000000004)}}"
EIS, Islas Virgenes Britanicas,Tortola,"{'location': {'type': 'Point', 'coordinates': (5.478633, 51.4392648)}}","{'location': {'type': 'Point', 'coordinates': (5.478633, 51.4392648)}}"
EJA, Colombia,Barrancabermeja,"{'location': {'type': 'Point', 'coordinates': (-64.63883251023499, 18.42105685)}}","{'location': {'type': 'Point', 'coordinates': (-64.63883251023499, 18.42105685)}}"
EJH, Arabia Saudita,Al Wajh,"{'location': {'type': 'Point', 'coordinates': (-73.8525627, 7.0673313)}}","{'location': {'type': 'Point', 'coordinates': (-73.8525627, 7.0673313)}}"
EJN, China,Ejin Banner,"{'location': {'type': 'Point', 'coordinates': (36.66529000798626, 26.62706335)}}","{'location': {'type': 'Point', 'coordinates': (36.66529000798626, 26.62706335)}}"
EKO, Estados Unidos,Elko,"{'location': {'type': 'Point', 'coordinates': (101.0692054, 41.9588471)}}","{'location': {'type': 'Point', 'coordinates': (101.0692054, 41.9588471)}}"
EKS, Rusia,Shakhtyorsk,"{'location': {'type': 'Point', 'coordinates': (-115.3272864, 41.1958128)}}","{'location': {'type': 'Point', 'coordinates': (-115.3272864, 41.1958128)}}"
ELC, Australia,Elcho Island,"{'location': {'type': 'Point', 'coordinates': (142.1070013, 49.1592435)}}","{'location': {'type': 'Point', 'coordinates': (142.1070013, 49.1592435)}}"
ELD, Estados Unidos,El Dorado,"{'location': {'type': 'Point', 'coordinates': (135.8022439624055, -11.9136184)}}","{'location': {'type': 'Point', 'coordinates': (135.8022439624055, -11.9136184)}}"
ELF, Sudan,El Fasher,"{'location': {'type': 'Point', 'coordinates': (-92.6662674, 33.20763)}}","{'location': {'type': 'Point', 'coordinates': (-92.6662674, 33.20763)}}"
ELG, Argelia,El Golea,"{'location': {'type': 'Point', 'coordinates': (25.3555559, 13.6238244)}}","{'location': {'type': 'Point', 'coordinates': (25.3555559, 13.6238244)}}"
ELH, Bahamas,North Eleuthera,"{'location': {'type': 'Point', 'coordinates': (2.8830889, 30.5836683)}}","{'location': {'type': 'Point', 'coordinates': (2.8830889, 30.5836683)}}"
ELI, Estados Unidos,Elim,"{'location': {'type': 'Point', 'coordinates': (-76.78426554397748, 25.377669400000002)}}","{'location': {'type': 'Point', 'coordinates': (-76.78426554397748, 25.377669400000002)}}"
ELM, Estados Unidos,Elmira,"{'location': {'type': 'Point', 'coordinates': (-162.2604161, 64.6173758)}}","{'location': {'type': 'Point', 'coordinates': (-162.2604161, 64.6173758)}}"
ELP, Estados Unidos,El Paso,"{'location': {'type': 'Point', 'coordinates': (-76.8077338, 42.0897965)}}","{'location': {'type': 'Point', 'coordinates': (-76.8077338, 42.0897965)}}"
ELQ, Arabia Saudita,Casim,"{'location': {'type': 'Point', 'coordinates': (-106.464634, 31.7754152)}}","{'location': {'type': 'Point', 'coordinates': (-106.464634, 31.7754152)}}"
ELS, Sudafrica,East London,"{'location': {'type': 'Point', 'coordinates': (43.4565711, 26.1942235)}}","{'location': {'type': 'Point', 'coordinates': (43.4565711, 26.1942235)}}"
ELU, Argelia,El Oued,"{'location': {'type': 'Point', 'coordinates': (27.8998573, -33.0191604)}}","{'location': {'type': 'Point', 'coordinates': (27.8998573, -33.0191604)}}"
ELV, Estados Unidos,Elfin Cove,"{'location': {'type': 'Point', 'coordinates': (7.155321399098325, 33.215441)}}","{'location': {'type': 'Point', 'coordinates': (7.155321399098325, 33.215441)}}"
EMA, Reino Unido,Nottingham,"{'location': {'type': 'Point', 'coordinates': (-136.3433333, 58.1944444)}}","{'location': {'type': 'Point', 'coordinates': (-136.3433333, 58.1944444)}}"
EMD, Australia,Emerald,"{'location': {'type': 'Point', 'coordinates': (-1.1496461, 52.9534193)}}","{'location': {'type': 'Point', 'coordinates': (-1.1496461, 52.9534193)}}"
EMR, Guatemala,El Mirador Heliport,"{'location': {'type': 'Point', 'coordinates': (148.1618622, -23.5263118)}}","{'location': {'type': 'Point', 'coordinates': (148.1618622, -23.5263118)}}"
ENA, Estados Unidos,Kenai,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
ENE, Indonesia,Ende,"{'location': {'type': 'Point', 'coordinates': (-151.258333, 60.5544444)}}","{'location': {'type': 'Point', 'coordinates': (-151.258333, 60.5544444)}}"
ENH, China,Enshi,"{'location': {'type': 'Point', 'coordinates': (78.6677428, 22.3511148)}}","{'location': {'type': 'Point', 'coordinates': (78.6677428, 22.3511148)}}"
ENI, Filipinas,El Nido,"{'location': {'type': 'Point', 'coordinates': (109.4833079, 30.2745483)}}","{'location': {'type': 'Point', 'coordinates': (109.4833079, 30.2745483)}}"
ENU, Nigeria,Enugu,"{'location': {'type': 'Point', 'coordinates': (119.3904846, 11.1800079)}}","{'location': {'type': 'Point', 'coordinates': (119.3904846, 11.1800079)}}"
ENY, China,Yan an,"{'location': {'type': 'Point', 'coordinates': (7.4143061, 6.5536094)}}","{'location': {'type': 'Point', 'coordinates': (7.4143061, 6.5536094)}}"
EOH, Colombia,Medellin,"{'location': {'type': 'Point', 'coordinates': (109.4828549, 36.5853932)}}","{'location': {'type': 'Point', 'coordinates': (109.4828549, 36.5853932)}}"
EPR, Australia,Esperance,"{'location': {'type': 'Point', 'coordinates': (-75.573553, 6.2443382)}}","{'location': {'type': 'Point', 'coordinates': (-75.573553, 6.2443382)}}"
EQS, Argentina,Esquel,"{'location': {'type': 'Point', 'coordinates': (121.8931606, -33.858228)}}","{'location': {'type': 'Point', 'coordinates': (121.8931606, -33.858228)}}"
ERC, pavo,Erzincan,"{'location': {'type': 'Point', 'coordinates': (-71.3216508, -42.9173055)}}","{'location': {'type': 'Point', 'coordinates': (-71.3216508, -42.9173055)}}"
ERF, Alemania,Erfurt,"{'location': {'type': 'Point', 'coordinates': (39.49103, 39.7467552)}}","{'location': {'type': 'Point', 'coordinates': (39.49103, 39.7467552)}}"
ERG, Rusia,Yerbogachen,"{'location': {'type': 'Point', 'coordinates': (11.0287364, 50.9777974)}}","{'location': {'type': 'Point', 'coordinates': (11.0287364, 50.9777974)}}"
ERH, Marruecos,Er-Rachidia,"{'location': {'type': 'Point', 'coordinates': (108.009712, 61.275021)}}","{'location': {'type': 'Point', 'coordinates': (108.009712, 61.275021)}}"
ERI, Estados Unidos,Erie,"{'location': {'type': 'Point', 'coordinates': (-4.428468963882421, 31.9298013)}}","{'location': {'type': 'Point', 'coordinates': (-4.428468963882421, 31.9298013)}}"
ERL, China,Eren Hot,"{'location': {'type': 'Point', 'coordinates': (-80.0852695, 42.1294712)}}","{'location': {'type': 'Point', 'coordinates': (-80.0852695, 42.1294712)}}"
ERM, Brasil,Erechim,"{'location': {'type': 'Point', 'coordinates': (111.943519, 43.6407813)}}","{'location': {'type': 'Point', 'coordinates': (111.943519, 43.6407813)}}"
ERN, Brasil,Eirunepe,"{'location': {'type': 'Point', 'coordinates': (-52.2738654, -27.6350709)}}","{'location': {'type': 'Point', 'coordinates': (-52.2738654, -27.6350709)}}"
ERS, Namibia,Windhoek,"{'location': {'type': 'Point', 'coordinates': (-69.866161, -6.6567654)}}","{'location': {'type': 'Point', 'coordinates': (-69.866161, -6.6567654)}}"
ERZ, pavo,Erzurum,"{'location': {'type': 'Point', 'coordinates': (17.0790688, -22.5743922)}}","{'location': {'type': 'Point', 'coordinates': (17.0790688, -22.5743922)}}"
ESB, pavo,Ankara,"{'location': {'type': 'Point', 'coordinates': (41.2727638, 39.9063215)}}","{'location': {'type': 'Point', 'coordinates': (41.2727638, 39.9063215)}}"
ESC, Estados Unidos,Escanaba,"{'location': {'type': 'Point', 'coordinates': (32.8540482, 39.9207886)}}","{'location': {'type': 'Point', 'coordinates': (32.8540482, 39.9207886)}}"
ESD, Estados Unidos,Eastsound,"{'location': {'type': 'Point', 'coordinates': (-87.0647434, 45.7455707)}}","{'location': {'type': 'Point', 'coordinates': (-87.0647434, 45.7455707)}}"
ESL, Rusia,Elista,"{'location': {'type': 'Point', 'coordinates': (-122.9054625, 48.696771)}}","{'location': {'type': 'Point', 'coordinates': (-122.9054625, 48.696771)}}"
ESU, Marruecos,Esauira,"{'location': {'type': 'Point', 'coordinates': (44.270187, 46.306999)}}","{'location': {'type': 'Point', 'coordinates': (44.270187, 46.306999)}}"
ETL, Rusia,Svetlaya,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
ETM, Israel,Eilat,"{'location': {'type': 'Point', 'coordinates': (40.9948565, 65.2929425)}}","{'location': {'type': 'Point', 'coordinates': (40.9948565, 65.2929425)}}"
ETZ, Francia,Nancy,"{'location': {'type': 'Point', 'coordinates': (34.9497949, 29.5569348)}}","{'location': {'type': 'Point', 'coordinates': (34.9497949, 29.5569348)}}"
EUG, Estados Unidos,Eugene,"{'location': {'type': 'Point', 'coordinates': (6.181150361127399, 48.68806655)}}","{'location': {'type': 'Point', 'coordinates': (6.181150361127399, 48.68806655)}}"
EUN, Marruecos,Laayoune,"{'location': {'type': 'Point', 'coordinates': (-123.0950506, 44.0505054)}}","{'location': {'type': 'Point', 'coordinates': (-123.0950506, 44.0505054)}}"
EUQ, Filipinas,San Jose de Labangan,"{'location': {'type': 'Point', 'coordinates': (-13.1953921, 27.154512)}}","{'location': {'type': 'Point', 'coordinates': (-13.1953921, 27.154512)}}"
EUX, Caribe Paises Bajos,San Eustaquio,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
EVE, Noruega,Narvik,"{'location': {'type': 'Point', 'coordinates': (-6.6243842, 37.7080699)}}","{'location': {'type': 'Point', 'coordinates': (-6.6243842, 37.7080699)}}"
EVG, Suecia,Sveg,"{'location': {'type': 'Point', 'coordinates': (17.086538711321808, 68.28988385)}}","{'location': {'type': 'Point', 'coordinates': (17.086538711321808, 68.28988385)}}"
EVN, Armenia,Erevan,"{'location': {'type': 'Point', 'coordinates': (14.3598392, 62.0360709)}}","{'location': {'type': 'Point', 'coordinates': (14.3598392, 62.0360709)}}"
EVV, Estados Unidos,Evansville,"{'location': {'type': 'Point', 'coordinates': (44.5126174, 40.1776245)}}","{'location': {'type': 'Point', 'coordinates': (44.5126174, 40.1776245)}}"
EWB, Estados Unidos,New Bedford,"{'location': {'type': 'Point', 'coordinates': (-87.5558483, 37.9747645)}}","{'location': {'type': 'Point', 'coordinates': (-87.5558483, 37.9747645)}}"
EWE, Indonesia,,"{'location': {'type': 'Point', 'coordinates': (-70.934205, 41.6362152)}}","{'location': {'type': 'Point', 'coordinates': (-70.934205, 41.6362152)}}"
EWN, Estados Unidos,New Bern,"{'location': {'type': 'Point', 'coordinates': (11.0480288, 46.3144754)}}","{'location': {'type': 'Point', 'coordinates': (11.0480288, 46.3144754)}}"
EWR, Estados Unidos,Nueva York,"{'location': {'type': 'Point', 'coordinates': (-77.0441143, 35.1084931)}}","{'location': {'type': 'Point', 'coordinates': (-77.0441143, 35.1084931)}}"
EXI, Estados Unidos,Excursion Inlet,"{'location': {'type': 'Point', 'coordinates': (-74.0060152, 40.7127281)}}","{'location': {'type': 'Point', 'coordinates': (-74.0060152, 40.7127281)}}"
EXT, Reino Unido,Exeter,"{'location': {'type': 'Point', 'coordinates': (-135.4266667, 58.4188889)}}","{'location': {'type': 'Point', 'coordinates': (-135.4266667, 58.4188889)}}"
EYK, Rusia,Beloyarsky,"{'location': {'type': 'Point', 'coordinates': (-3.5269497, 50.7255794)}}","{'location': {'type': 'Point', 'coordinates': (-3.5269497, 50.7255794)}}"
EYP, Colombia,Yopal,"{'location': {'type': 'Point', 'coordinates': (66.6667691, 63.7156353)}}","{'location': {'type': 'Point', 'coordinates': (66.6667691, 63.7156353)}}"
EYW, Estados Unidos,Cayo Hueso,"{'location': {'type': 'Point', 'coordinates': (-72.3936931, 5.3356662)}}","{'location': {'type': 'Point', 'coordinates': (-72.3936931, 5.3356662)}}"
EZE, Argentina,Buenos Aires,"{'location': {'type': 'Point', 'coordinates': (-81.7724368, 24.5625566)}}","{'location': {'type': 'Point', 'coordinates': (-81.7724368, 24.5625566)}}"
EZS, pavo,Elazg,"{'location': {'type': 'Point', 'coordinates': (-58.4370894, -34.6075682)}}","{'location': {'type': 'Point', 'coordinates': (-58.4370894, -34.6075682)}}"
EZV, Rusia,Beriozovo,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
FAC, Polinesia frances,Faaite,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
FAE, Islas Faroe,Srvagur,"{'location': {'type': 'Point', 'coordinates': (-145.355958, -16.70296)}}","{'location': {'type': 'Point', 'coordinates': (-145.355958, -16.70296)}}"
FAH, Afganistan,Farah,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
FAI, Estados Unidos,Fairbanks,"{'location': {'type': 'Point', 'coordinates': (62.671011, 32.607111)}}","{'location': {'type': 'Point', 'coordinates': (62.671011, 32.607111)}}"
FAO, Portugal,Faro,"{'location': {'type': 'Point', 'coordinates': (-147.66991691593407, 64.82897449999999)}}","{'location': {'type': 'Point', 'coordinates': (-147.66991691593407, 64.82897449999999)}}"
FAR, Estados Unidos,Fargo,"{'location': {'type': 'Point', 'coordinates': (-7.9351771, 37.0162727)}}","{'location': {'type': 'Point', 'coordinates': (-7.9351771, 37.0162727)}}"
FAT, Estados Unidos,Fresno,"{'location': {'type': 'Point', 'coordinates': (-96.789821, 46.877229)}}","{'location': {'type': 'Point', 'coordinates': (-96.789821, 46.877229)}}"
FAV, Polinesia frances,Fakarava,"{'location': {'type': 'Point', 'coordinates': (-119.70886126075588, 36.7295295)}}","{'location': {'type': 'Point', 'coordinates': (-119.70886126075588, 36.7295295)}}"
FAY, Estados Unidos,Fayetteville,"{'location': {'type': 'Point', 'coordinates': (-145.6185919, -16.0563818)}}","{'location': {'type': 'Point', 'coordinates': (-145.6185919, -16.0563818)}}"
FBM, Republica Democratica del Congo,Lubumbashi,"{'location': {'type': 'Point', 'coordinates': (-94.1574328, 36.0625843)}}","{'location': {'type': 'Point', 'coordinates': (-94.1574328, 36.0625843)}}"
FCA, Estados Unidos,Kalispell,"{'location': {'type': 'Point', 'coordinates': (27.4826264, -11.6642316)}}","{'location': {'type': 'Point', 'coordinates': (27.4826264, -11.6642316)}}"
FCO, Italia,Roma,"{'location': {'type': 'Point', 'coordinates': (-114.315321, 48.202158)}}","{'location': {'type': 'Point', 'coordinates': (-114.315321, 48.202158)}}"
FDE, Noruega,Frde,"{'location': {'type': 'Point', 'coordinates': (12.4829321, 41.8933203)}}","{'location': {'type': 'Point', 'coordinates': (12.4829321, 41.8933203)}}"
FDF, Martinica,Fort-de-France,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
FDH, Alemania,Friedrichshafen,"{'location': {'type': 'Point', 'coordinates': (-61.0676724, 14.6027962)}}","{'location': {'type': 'Point', 'coordinates': (-61.0676724, 14.6027962)}}"
FEG, Uzbekistan,Fergana,"{'location': {'type': 'Point', 'coordinates': (9.4800858, 47.6500279)}}","{'location': {'type': 'Point', 'coordinates': (9.4800858, 47.6500279)}}"
FEN, Brasil,Fernando de Noronha,"{'location': {'type': 'Point', 'coordinates': (71.78755737387597, 40.3983651)}}","{'location': {'type': 'Point', 'coordinates': (71.78755737387597, 40.3983651)}}"
FEZ, Marruecos,Fez,"{'location': {'type': 'Point', 'coordinates': (-32.37861623300567, -3.8545643)}}","{'location': {'type': 'Point', 'coordinates': (-32.37861623300567, -3.8545643)}}"
FGU, Polinesia frances,Fangatau,"{'location': {'type': 'Point', 'coordinates': (-5.023184874281094, 34.02619515)}}","{'location': {'type': 'Point', 'coordinates': (-5.023184874281094, 34.02619515)}}"
FHZ, Polinesia frances,Fakahina,"{'location': {'type': 'Point', 'coordinates': (-140.86638969105906, -15.8209958)}}","{'location': {'type': 'Point', 'coordinates': (-140.86638969105906, -15.8209958)}}"
FIE, Reino Unido,Fair Isle,"{'location': {'type': 'Point', 'coordinates': (-140.1307825529488, -15.98623995)}}","{'location': {'type': 'Point', 'coordinates': (-140.1307825529488, -15.98623995)}}"
FIH, Republica Democratica del Congo,Kinshasa,"{'location': {'type': 'Point', 'coordinates': (-1.631043382694672, 59.53259085)}}","{'location': {'type': 'Point', 'coordinates': (-1.631043382694672, 59.53259085)}}"
FIZ, Australia,Fitzroy Crossing,"{'location': {'type': 'Point', 'coordinates': (15.3125974, -4.3217055)}}","{'location': {'type': 'Point', 'coordinates': (15.3125974, -4.3217055)}}"
FJR, Emiratos Arabes Unidos,Fujairah,"{'location': {'type': 'Point', 'coordinates': (125.5668349, -18.1930007)}}","{'location': {'type': 'Point', 'coordinates': (125.5668349, -18.1930007)}}"
FKB, Alemania,Karlsruhe,"{'location': {'type': 'Point', 'coordinates': (56.3355085, 25.1244604)}}","{'location': {'type': 'Point', 'coordinates': (56.3355085, 25.1244604)}}"
FKI, Republica Democratica del Congo,Kisangani,"{'location': {'type': 'Point', 'coordinates': (8.4034195, 49.0068705)}}","{'location': {'type': 'Point', 'coordinates': (8.4034195, 49.0068705)}}"
FKQ, Indonesia,Fakfak,"{'location': {'type': 'Point', 'coordinates': (25.2057292, 0.5184021)}}","{'location': {'type': 'Point', 'coordinates': (25.2057292, 0.5184021)}}"
FKS, Japon,Fukushima,"{'location': {'type': 'Point', 'coordinates': (132.2961612, -2.9298174)}}","{'location': {'type': 'Point', 'coordinates': (132.2961612, -2.9298174)}}"
FLA, Colombia,Florencia,"{'location': {'type': 'Point', 'coordinates': (140.4592144, 37.75454)}}","{'location': {'type': 'Point', 'coordinates': (140.4592144, 37.75454)}}"
FLG, Estados Unidos,Grand Canyon Village,"{'location': {'type': 'Point', 'coordinates': (11.2555757, 43.7698712)}}","{'location': {'type': 'Point', 'coordinates': (11.2555757, 43.7698712)}}"
FLL, Estados Unidos,Fort Lauderdale,"{'location': {'type': 'Point', 'coordinates': (-112.1406308, 36.0545151)}}","{'location': {'type': 'Point', 'coordinates': (-112.1406308, 36.0545151)}}"
FLN, Brasil,Florianopolis,"{'location': {'type': 'Point', 'coordinates': (-80.1433786, 26.1223084)}}","{'location': {'type': 'Point', 'coordinates': (-80.1433786, 26.1223084)}}"
FLO, Estados Unidos,Florence,"{'location': {'type': 'Point', 'coordinates': (-48.5496098, -27.5973002)}}","{'location': {'type': 'Point', 'coordinates': (-48.5496098, -27.5973002)}}"
FLR, Italia,Florencia,"{'location': {'type': 'Point', 'coordinates': (11.2555757, 43.7698712)}}","{'location': {'type': 'Point', 'coordinates': (11.2555757, 43.7698712)}}"
FLS, Australia,Isla Flinders,"{'location': {'type': 'Point', 'coordinates': (11.2555757, 43.7698712)}}","{'location': {'type': 'Point', 'coordinates': (11.2555757, 43.7698712)}}"
FLW, Portugal,Flores Island,"{'location': {'type': 'Point', 'coordinates': (148.2176255968696, -40.39168695)}}","{'location': {'type': 'Point', 'coordinates': (148.2176255968696, -40.39168695)}}"
FLZ, Indonesia,Sibolga,"{'location': {'type': 'Point', 'coordinates': (-126.15603676967149, 49.32299265)}}","{'location': {'type': 'Point', 'coordinates': (-126.15603676967149, 49.32299265)}}"
