,Countries,Divisas,Abrev
178,Puerto Rico,dólar estadounidense,USD
179,Qatar,rial qatarí,QAR
180,República Centroafricana,franco CFA,XAF
181,República Checa,oruna checa,CZK
182,República Dominicana,peso dominicano,DOP
183,Ruanda,franco ruandés,RWF
184,Rumania,leu rumano,RON
185,Rusia,rublo ruso,RUB
186,Sáhara Occidental,dirham marroquí,MAD
187,Salvador,colón,SVC
188,Samoa Americana,dólar estadounidense,USD
189,Samoa Occidentales,tala samoana,WST
190,San Cristóbal y Nieves,dólar,XCD
191,San Marino,euro,EUR
192,San Pedro y Miquelón,euro,EUR
193,San Vicente y las Granadinas,dólar,XCD
194,Santa Elena,libra,SHP
195,Santa Lucía,dólar,XCD
196,Santo Tomé y Príncipe,dobra,STN
197,Senegal,franco CFA,XOF
198,Serbia,dinar,RSD
199,Seychelles,rupia,SCR
200,Sierra Leona,leone,SLL
201,Singapur,dólar,SGD
202,Sint Maarten,florín antillano neerlandés,ANG
203,Siria,libra siria,SYP
204,Somalia,chelín somalí,SOS
205,Sri Lanka,rupia,LKR
206,Sudán,dinar sudanés,SDG
207,Sudán del Sur,outh Sudanese Pound,SSP
208,Suecia,corona sueca,SEK
209,Suiza,franco suizo,CHF
210,Surinam,dólar surinamés,SRD
211,Svalbard y Jan Mayen,corona noruega,NOK
212,Swazilandia,lilangeni suazi,SZL
213,Tailandia,baht tailandés,THB
214,Taiwán,nuevo dólar taiwanés,TWD
215,Tanzania,chelín tanzano,TZS
216,Tayikistán,somoni tayik,TJS
217,Territorios británicos en el Océano Índico,libra esterlina,GBP
218,Timor Oriental,dólar estadounidense,USD
219,Togo,franco CFA,XOF
220,Tokelau,dólar neozelandés,NZD
221,Tonga,pa'anga tongano,TOP
222,Trinidad y Tobago,dólar,TTD
223,Túnez,dinar tunecino,TND
224,Turkmenistán,manat turcomano,TMT
225,Turquía,nueva lira,TRY
226,Turquía y Caicos,dólar estadounidense,USD
227,Tuvalu,dólar australiano,AUD
228,Ucrania,grivna ucrainiana,UAH
229,Uganda,chelín ugandés,UGX
230,Unión Europea,euro,EUR
231,Uruguay,peso uruguayo,UYU
232,Uzbekistán,som uzbeko,UZS
233,Vanuatu,vatu vanuatense,VUV
234,varias islas estadounidenses,dólar estadounidense,USD
235,Venezuela,bolívar soberano,VES
236,Vietnam,dong vietnamito,VND
237,Wallis y Futuna,franco CFP,XPF
238,Yemen,rial yemeni,YER
239,Yibuti,franco yibutiano,DJF
240,Yugoslavia,dinar yugoslavo,YUN
241,Zambia,kwacha zambiano,ZMW
242,Zimbabue,dólar zimbabuense,ZWL
